MesAnoEstado;IQA;area há;PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr))
202211AC;43.73604;5929.26770351563;996,4;19,1;73.0;222.0
202211AC;43.73604;32.06071138916015;996,4;19,4;75.0;190.0
202211AC;43.73604;2004.3457439209;996,4;19,4;75.0;190.0
202211AC;43.73604;0.528358068847656;996,4;19,4;75.0;190.0
202211AC;43.73604;3.42895758056641;996,4;19,4;75.0;190.0
202211AC;43.73604;5929.26770351563;996,4;19,4;75.0;190.0
202211AC;43.73604;32.06071138916015;996,4;18,9;85.0;247.0
202211AC;43.73604;2004.3457439209;996,4;18,9;85.0;247.0
202211AC;43.73604;0.528358068847656;996,4;18,9;85.0;247.0
202211AC;43.73604;3.42895758056641;996,4;18,9;85.0;247.0
202211AC;43.73604;5929.26770351563;996,4;18,9;85.0;247.0
202211AC;43.73604;32.06071138916015;997;17,5;97.0;107.0
202211AC;43.73604;2004.3457439209;997;17,5;97.0;107.0
202211AC;43.73604;0.528358068847656;997;17,5;97.0;107.0
202211AC;43.73604;3.42895758056641;997;17,5;97.0;107.0
202211AC;43.73604;5929.26770351563;997;17,5;97.0;107.0
202211AC;43.73604;32.06071138916015;997,8;16,7;99.0;256.0
202211AC;43.73604;2004.3457439209;997,8;16,7;99.0;256.0
202211AC;43.73604;0.528358068847656;997,8;16,7;99.0;256.0
202211AC;43.73604;3.42895758056641;997,8;16,7;99.0;256.0
202211AC;43.73604;5929.26770351563;997,8;16,7;99.0;256.0
202211AC;43.73604;32.06071138916015;998,7;16,8;91.0;242.0
202211AC;43.73604;2004.3457439209;998,7;16,8;91.0;242.0
202211AC;43.73604;0.528358068847656;998,7;16,8;91.0;242.0
202211AC;43.73604;3.42895758056641;998,7;16,8;91.0;242.0
202211AC;43.73604;5929.26770351563;998,7;16,8;91.0;242.0
202211AC;43.73604;32.06071138916015;999,9;16,8;87.0;232.0
202211AC;43.73604;2004.3457439209;999,9;16,8;87.0;232.0
202211AC;43.73604;0.528358068847656;999,9;16,8;87.0;232.0
202211AC;43.73604;3.42895758056641;999,9;16,8;87.0;232.0
202211AC;43.73604;5929.26770351563;999,9;16,8;87.0;232.0
202211AC;43.73604;32.06071138916015;1000,5;16,4;93.0;314.0
202211AC;43.73604;2004.3457439209;1000,5;16,4;93.0;314.0
202211AC;43.73604;0.528358068847656;1000,5;16,4;93.0;314.0
202211AC;43.73604;3.42895758056641;1000,5;16,4;93.0;314.0
202211AC;43.73604;5929.26770351563;1000,5;16,4;93.0;314.0
202211AC;43.73604;32.06071138916015;1000,4;15,7;99.0;261.0
202211AC;43.73604;2004.3457439209;1000,4;15,7;99.0;261.0
202211AC;43.73604;0.528358068847656;1000,4;15,7;99.0;261.0
202211AC;43.73604;3.42895758056641;1000,4;15,7;99.0;261.0
202211AC;43.73604;5929.26770351563;1000,4;15,7;99.0;261.0
202211AC;43.73604;32.06071138916015;1000;15,9;98.0;280.0
202211AC;43.73604;2004.3457439209;1000;15,9;98.0;280.0
202211AC;43.73604;0.528358068847656;1000;15,9;98.0;280.0
202211AC;43.73604;3.42895758056641;1000;15,9;98.0;280.0
202211AC;43.73604;5929.26770351563;1000;15,9;98.0;280.0
202211AC;43.73604;32.06071138916015;999,8;16;90.0;266.0
202211AC;43.73604;2004.3457439209;999,8;16;90.0;266.0
202211AC;43.73604;0.528358068847656;999,8;16;90.0;266.0
202211AC;43.73604;3.42895758056641;999,8;16;90.0;266.0
202211AC;43.73604;5929.26770351563;999,8;16;90.0;266.0
202211AC;43.73604;32.06071138916015;999,4;15,8;90.0;270.0
202211AC;43.73604;2004.3457439209;999,4;15,8;90.0;270.0
202211AC;43.73604;0.528358068847656;999,4;15,8;90.0;270.0
202211AC;43.73604;3.42895758056641;999,4;15,8;90.0;270.0
202211AC;43.73604;5929.26770351563;999,4;15,8;90.0;270.0
202211AC;43.73604;32.06071138916015;999,3;15,8;93.0;269.0
202211AC;43.73604;2004.3457439209;999,3;15,8;93.0;269.0
202211AC;43.73604;0.528358068847656;999,3;15,8;93.0;269.0
202211AC;43.73604;3.42895758056641;999,3;15,8;93.0;269.0
202211AC;43.73604;5929.26770351563;999,3;15,8;93.0;269.0
202211AC;43.73604;32.06071138916015;999,6;15,8;92.0;241.0
202211AC;43.73604;2004.3457439209;999,6;15,8;92.0;241.0
202211AC;43.73604;0.528358068847656;999,6;15,8;92.0;241.0
202211AC;43.73604;3.42895758056641;999,6;15,8;92.0;241.0
202211AC;43.73604;5929.26770351563;999,6;15,8;92.0;241.0
202211AC;43.73604;32.06071138916015;999,9;15,8;97.0;356.0
202211AC;43.73604;2004.3457439209;999,9;15,8;97.0;356.0
202211AC;43.73604;0.528358068847656;999,9;15,8;97.0;356.0
